Company,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3
"AIT WORLDWIDE LOGISTICS, INC.",325481.13,290392.66,305582.14,367249.37,443966.16,374173.45,423859.27,464870.83
AJ CAPITAL PARTNERS,290287.64,242781.67,400018.71,170275.5,235436.39,264531,241064.18,350526.84
"AJINOMOTO ALTHEA, INC.",101985.66,146650.22,146392.66,180359.34,173405.76,200008.2,229306.26,190379.52
"AJINOMOTO NORTH AMERICA, INC.",746550.04,639341.51,616219.59,590518.86,629716.41,571345.83,545597.06,586908.99
AKELIUS,165150.73,188985.23,188009.54,152580.72,185518.72,156963.13,152104.33,179976.12
AKELIUS REAL ESTATE MANAGEMENT LTD,53379.77,30354.45,60656.07,20918.9,58808.64,57760.53,41636.89,29460.11
AKKR FUND II MANAGEMENT CO LP,453329.63,503513.02,639476.66,524222.35,411132.61,386590.8,532218.27,479251.66
"AKRE CAPITAL MANAGEMENT, LLC",79303.71,88583.74,75262.56,56988.91,89657.8,85961.23,118322.19,50809.09
AKRIS INC,275047.56,323910.3,318425.85,287026.06,496722.2,300120.1,326665.3,254571.44
"AKT GROUP, LLP",902373.88,973884.69,812125.55,998329.93,628076.74,1004798.07,912094.03,1009097
"AL JAZEERA INTERNATIONAL (USA), INC",595968.62,457653.53,544550.4,823771.52,873637.03,581864.36,617725.57,574083.11
ALANA HEALTHCARE,249573.69,212198.06,321227.96,307089.29,270075.29,305187.72,302842.25,304616.13
ALBERTA BEVERAGE CONTAINER RECYCLING CORPORATION,41858.65,34968.14,27555.52,27026.08,33652.74,36289.94,37234.59,17542.24
ALBERTA INVESTMENT MANAGEMENT CORPORATION,527913.65,338850.88,443775.71,376203.12,491477.31,333140.53,421518.26,384865.11
ALCUMUS HOLDINGS LIMITED,339500.81,278438.54,313845.7,296663.97,270220.45,212503.61,230332.19,240726.19
ALDRIDGE SECURITY LTD,63384.42,30864.41,42881.53,12957.81,36625.99,12836.35,62419.55,33371.76
ALEGEUS TECHNOLOGIES,365969.57,322135.49,440199,402292.81,401805.24,427282.23,603066.54,453956.43
"ALERT LOGIC, INC",1165190.82,1175292.73,1324733.58,1603047.56,1696470.69,1432052.86,1398510.38,1682924.68
ALEXANDER & COMPANY,41732.97,50527.25,57927.08,78613.34,51037.96,45467.4,53292.7,54697.71
ALEXANDER PROUDFOOT COMPANY,3576776.93,3233845.97,3384626.18,3330623.43,2839700.53,2992961.21,2727120.1,1952127.31
ALEXANDER WANG INCORPORATED,1228112.25,773862.03,575016.81,777011.33,809029.52,773280.37,666034.68,525828.99
ALEXANDERS MOBILITY SERVICES,183547.3,129695.67,128760.2,129719.05,160454.43,164385.41,149103.44,131830.17
"ALEXANDRIA REAL ESTATE EQUITIES, INC.",487692.16,446461.84,431182.56,343411.35,560436.48,524550.17,668833.3,543608.75
"ALFA LAVAL D.B.A. TRANTER, INC.",413276.55,415840.9,447222.77,348027.54,402071.43,336584.01,347545.43,368750.02
ALFA LAVAL INC (CANADA),354246.46,193892.95,279906.76,244462.63,265523.24,206327.08,272593.79,199108.04
ALFA WASSERMANN,214837.46,179142.75,217628.26,190845.37,185234.69,156798.91,147017.41,202437.91
"ALFRED PUBLISHING, LLC.",359333.67,567899.64,217434.49,189537.28,391004,366785.65,193550.65,223779.15
ALFRESCO SOFTWARE LTD.,573684.7,596058.8,596023.82,648679.42,741596.84,629707.97,563889.84,485702.09
"ALG ADMINISTRATIVE SERVICES, LLC",430092.59,462780.23,538695.71,482442.26,672167.61,726539.27,558005.44,550087.24
ALGEBRIS (UK) LIMITED,4068.78,4497.71,7887.57,11615.68,4146.88,8551.17,7123.76,9501.12
ALGERT GLOBAL LLC,104544.82,49277.86,67024.33,23733.41,36737.11,25656.32,50988.45,32694.8
ALIEN VAULT INC,581274.36,515343.66,480216.04,424876.44,466389.56,522419.19,623907.31,563207.05
ALIGHT LLC / ALIGHT INC.,53670.96,58361.85,82106.56,72213.78,97850.8,96625.17,113252.64,86721.33
ALIGN AEROSPACE LLC,174198.44,170914.43,164424.87,147294.62,171444.97,121483.84,182377.12,179445.43
ALIGNMENT HEALTHCARE USA LLC,700962.04,380709.76,403473.71,415406.63,566601.35,376670.84,533294.53,537521.89
"ALIMERA SCIENCES, INC.",815248.69,662623.64,864721,935147.27,674506.06,484788.92,738122.47,676843.67
ALINDA CAPITAL PARTNERS,475298.99,401506.48,389576.93,240702.62,426663.58,415900.7,390599.04,330349.26
"ALK-ABELLO, INC.",573586.72,591893.84,561390.05,620111.22,799675.97,832568.09,1073632.62,967526.76
ALKEMY X,204366.61,288901.47,376014.02,212205.75,273487.76,199165.57,252247.68,143602.32
ALKEON CAPITAL MANAGEMENT,720569.18,294902.66,785813,451324.63,661988.95,340856.42,799252.48,541016.55
"ALKERMES, INC.",5847145.37,4511838.12,6099286.53,5275360.41,9189303.33,5180525.34,8462266.41,7617735.82
"ALL AMERICAN CONTAINERS, INC.",58266.02,69654.84,123986.93,93372.95,137027.41,96669.23,117773.98,149132.92
ALL MARKET INC.,1448170.14,1225087.95,1379451,1391139.2,1931242.32,1481426.02,1532747.6,1242088.34
"ALL SYSTEMS BROADBAND, INC.",189814.38,170926.18,160241.29,237769.06,186231.78,154020.59,180427.82,153152.3
ALL TERRAIN PRODUCTIONS,187030.76,136563.4,254918.31,186731.84,100890.74,214171.11,167301.51,242998.13
ALL WEST / SELECT SIRES,212013.42,141097.46,213870.25,217985,258983.86,321251.83,176034.98,268396.25
ALLAGASH BREWING COMPANY,461615.54,335884.14,412877.66,406864.89,400075.07,387566.17,529699.71,501587
"ALLCLEAR ID, INC (FORMERLY DEBIX)",350173.12,283521.09,430770.5,363993.69,217055.2,351396.64,449877.31,226330.18
ALLEGHENY MILLWORK,112181.31,209016.72,158660.09,213392.33,225164.08,258492.75,262094.52,148073.71
"ALLEGIANT ATHLETIC AGENCY, LLC",30502.88,39291.45,25291.91,25487.57,7676.62,26136.76,22374.36,28009.56
ALLEGIS CAPITAL,10503.85,84188.25,41779.72,53119.37,36997.57,37192.37,50022.64,18518.7
ALLEGRA NETWORK LLC,622644.07,752454.98,778970.51,441714.33,574030.52,545081.81,711225.2,696417.53
ALLEGRO COFFEE COMPANY,445748.47,426121.71,536980.8,380515.58,414729.38,496948.94,544786.16,444592.29
"ALLEN HARRISON COMPANY, LLC",59746.78,102763.42,68794.28,95222.62,63917.75,89759.24,25303.08,25210.58
"ALLEN TECHNOLOGIES, INC.",47405.59,29808.69,52389.16,47689.67,80836.97,44602.77,36645.69,34323.22
ALLENTOWN INC,345355.4,265695.5,253590.82,252829.86,395188.79,256503.03,271147.58,256567.31
ALLIANCE BUS GROUP,116933.53,93591.26,96734.21,76306.01,92773.12,94083.37,137474.24,167102.19
"ALLIANCE CONSULTING GROUP, INC",57264.33,102739.58,111640.25,116389.39,176153.25,161626.8,93803.61,113589.2
ALLIANCE DEFENDING FREEDOM,1364709.31,1193944.01,1230666.33,1014716.2,1389853.17,1134430.4,1550443.52,1109092.57
"ALLIANCE ENVIRONMENTAL GROUP, INC.",473107.16,436277.9,476369.79,479193.59,444721.24,500029.37,482693.37,483354.79
"ALLIANCE FOR A HEALTHIER GENERATION, INC.",353985.26,253966.59,278785.57,217005.99,291809.43,283045.11,341177.52,160699.89
"ALLIANCE INSPECTION MANAGEMENT, LLC",873093.51,688690.82,757981.05,890163.52,832186.11,782731.22,750775.53,547106.32
ALLIANT CREDIT UNION,559290.1,477434.05,609090.52,600826.47,581401.18,528939.61,680294.41,687753.82
"ALLIED ELECTRONICS, INC",115527.72,92942.9,117720.95,131432.05,146087.14,137095.57,141464.56,148060.05
"ALLIED HEALTH MEDIA, LLC",50515.87,24005.51,31520.52,9621.32,16184.07,29413.43,30176.68,23843.25
ALLIED MINDS INC,776983.11,696994.38,834692.92,837546.92,870167.19,731819.14,690183.67,688015.43
ALLIED ORION,118729.52,183184.42,328712.4,226310.65,143175.44,218758.28,303287.11,223592.57
"ALLIED SOLUTIONS, LLC",1067937.55,903993.43,1029983.95,917052.3,1064900.2,879088.91,1044031.08,973030.35
"ALLIQUA, INC.",665756.43,532066.28,612743.12,578884.89,508965.46,464222.59,430683.57,375982.28
ALLOCADIA SOFTWARE INC.,74002.03,119694.39,117929.45,113635.72,130924.32,88276.71,112618.93,48869.8
ALLOSOURCE,593517.17,736843.48,1003681.13,620970.26,572559.77,918357.13,653285.07,638409.4
ALLPORT CARGO SERVICES LTD.,98688.65,118998.55,141704.56,129888.16,163960.46,132924.58,127571.88,103048.49
ALLTECH CANADA INC,156600.39,148200.03,188227.51,160309.65,165350.32,184003.3,234806.64,148258.38
ALMA LASERS INC,225667.44,187725.97,198945.74,216998.02,266535.79,198395.3,223019.13,191106.57
ALMATIS,236840.36,202427.44,238345.96,134119.75,139865.82,125638.11,233332.16,185054.2
ALMO CORPORATION,646529.2,720226.28,856577.1,908298.82,886271.95,893565.38,1013516.7,964607.9
"ALN MEDICAL MANAGEMENT, LLC",59094.82,64701.28,70536.43,49663.59,54814.03,68136.57,79046.76,56744.64
"ALNYLAM PHARMACEUTICALS, INC.",768249.29,691572.41,814510.27,813707.4,1119686.93,1216770.29,1306734.3,1322110.53
ALPHA GENOMIX LABORATORIES INC,66788.11,125512.79,108391.78,115894.97,84278.52,245519.75,140832.18,364945.47
"ALPHA IMAGING, LLC.",298273.62,279025.68,276982.46,257920.95,283795.91,231953.81,284065.5,234983.73
ALPHA TECHNOLOGIES INC,969816.39,920837.59,996897.22,1140917.11,1230110.03,1023607.26,1117679.87,900149.62
"ALPHA THEORY, LLC",2113.6,3920.47,9408.98,4562.12,10223.92,2952.26,6012.3,1281.25
"ALPHATEC SPINE, INC",1080266.39,866127.75,683125.54,509678.67,595543.7,583391.58,414880.45,426840.55
"ALPINE ELECTRONICS OF AMERICA, INC.",416047.44,514124.36,345998.2,365120.68,388627.03,553412.24,355799.88,347176.1
ALPINE POWER SYSTEMS,166004.73,395349.4,311633.18,397125.36,480355.34,348642.7,344722.3,435754.46
"ALPINE WOODS, L.P.",59701.79,50753.53,49381,39315.83,34667.65,26911.16,25600.49,17190.58
ALPLA INC,1009929.34,944040.55,908556.87,1050833.3,1109595.78,1138140.63,1164378.76,1153882.25
ALPS CORPORATION_US,76218.97,53688.72,72507.37,189237.79,133779.16,113556.98,192461.16,144503.61
ALPS ELECTRIC USA INC.,369516.59,364473.81,367775.77,328569.11,389308.98,482334.69,311609.05,394140.61
ALTERNATIVE ENERGY DEVELOPMENT,12546.29,66442.6,40746.15,49630.7,35441.69,97216.48,16222.58,27049.07
ALTERNATIVE INVESTMENT GROUP LLC,156528.59,43494.52,121945.6,100499.06,157267.89,40597.3,62131,87607.51
"ALTERNATIVE RUBBER & PLASTICS, INC.",18429.97,28658.77,47138.72,80119.93,61150.39,57132.75,51258,58043.42
"ALTERRA GROUP, LLC.",276899.82,248668.03,267367.42,289294.05,449495.45,382089.92,522864.31,574459.69
ALTITUDE DIGITAL,248675.76,384846.4,351849.84,184611.5,89199.04,56899.75,56110.29,69845.86
"ALTITUDE VENTURES HOLDING, INC",285946.64,311932.05,168190.12,82518.77,186680.2,146533.1,132435.4,128517.67
ALTIUM LIMITED,1039449.07,952383.53,756682.33,804863.07,1098922.68,1092630.32,888010.02,812105.43
"ALTO-SHAAM, INC.",859121.25,799876.94,830704.48,916738.99,1348709.45,1094394.7,836240.55,1007125.74
ALTOUR,382516.33,448329.68,318939.78,353151.78,334072.77,387443.99,169112.62,138834.35
ALTURA COMMUNICATIONS,192362.7,137788.89,152762.73,152928.3,153618.88,102908.6,84540.24,84240.25
ALTUS UK LLP,107341.1,122674.43,103724.57,109015.31,127500.77,124440.03,126554.68,144946.55
ALVOGEN GROUP INC.,1335690.59,1314272.44,1311404.66,1333511.85,1602904.35,1137866.79,1590516.16,1269245.75
ALYESKA INVESTMENT GROUP,137328.23,186816.85,222798.33,214786.8,276846.47,275555.77,224013.88,222095.89
"AMAG PHARMACEUTICALS, INC",2397125.93,2785838.33,2707247.31,2227540.65,2693517.96,2399883.66,2951913.32,4292079.05
AMANO MCGANN,326444.34,219952.11,301408.01,351569.48,396787.14,363151.36,425106.08,519513.18
AMANO PIONEER ECLIPSE CORPORATION,151790.35,199187.17,329580.26,294943.59,335359.24,348316.13,367495.63,396549.88
AMARIN PHARMA INC,1031100.2,1145185.7,1170085.62,1275442.26,1778648.16,1679788.05,1790266.85,1649357.1
AMBITECH ENGINEERING CORP,966718.33,759019.83,933378.31,779385.75,798893.23,689941.72,972504.82,479423.61
AMBLING MANAGEMENT COMPANY,195799.28,128181.52,105602.31,121508.2,114826.55,96314.46,111843.75,126932.66
AMBROSIA TREATMENT CENTER,807877.66,702946.59,702366.05,712656.65,802236.38,642056.44,630245.84,681430.83
AMBRY GENETICS CORPORATION,1007328.49,1175659.86,1350743.94,1377192.72,1606302.06,1495336.98,1503637.32,1232800.06
AMEDA,195398.7,195649.13,214451.73,199589.8,185725.62,215645.04,241176.24,145066.87
AMEDICA CORP,272731.46,231537.12,217366.44,197751.01,152152.14,102800.26,136786.55,106485.27
AMEN CLINICS,266031.55,330120.46,540234.93,561698.67,613786.6,621107.99,498951.13,485110.44
"AMENDIA, INC",802683.78,607804.5,808115.37,663274.73,684434.61,493289.4,554667.14,436190.19
"AMERICAN ACADEMY OF OTOLARYNGOLOGY - HEAD AND NECK SURGERY FOUNDATION, INC.",20546.78,20857.76,40418.63,23774.38,34893.64,32994.92,33715.95,21541.5
AMERICAN ACCESS CARE LLC,1249431.42,1094829.37,1259711.33,1162036.94,1427431.36,1244805.71,973155.11,513195.45
"AMERICAN AGCREDIT, FLCA",1284740.1,1064620.16,1028004.03,1167866.12,1243357.02,1082941.1,1243016.1,1319611.49
AMERICAN AGRICULTURAL INSURANCE COMPANY,391487.44,382050.25,508739.17,440920.16,312504.82,247340.53,332532.55,350786.05
"AMERICAN APARTMENT MANAGEMENT COMPANY, INC.",204996.01,514657.93,181261.87,297769.28,289720.4,687055.75,208890.05,170403.42
AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS,283363.77,204940.02,387813.93,422609.26,398053.89,367096.39,488243.72,630315.82
"AMERICAN AUDIO VISUAL, INC",77928.23,125496.04,116967.78,106263.37,152371.77,146625.84,124227.16,108900.53
AMERICAN AVK CO,166517.3,190005.44,195484.97,216672.15,182657.27,165494.13,213027.87,171440.78
AMERICAN BEVERAGE CORP,62600.12,79771.9,88840.24,43396.81,52186.12,89918.08,76765.94,48395.03
AMERICAN BIBLE SOCIETY,759686.58,736595.36,855809.67,941897.79,958160.69,996396.44,1361191.82,829359.88
AMERICAN BICYCLE ASSOCIATION,42974.1,178986.66,245158.9,186036.97,164050.9,145961.66,169672.14,197803.5
AMERICAN BOARD OF MEDICAL SPECIALTIES,199668.51,274908.13,222154.61,181424.9,371347.94,206600.26,316506.63,262076.1
AMERICAN BRAIN TUMOR ASSOCIATION,14554.67,16945.31,111080.36,56552.66,56224.81,34465.21,64567.41,30029.79
AMERICAN CARPET SOUTH,452382.16,248425.85,212323.68,249408.06,232201.93,367199.91,227032.86,205717.54
"AMERICAN CHEMICAL TECHNOLOGIES, INC.",499411.57,268858.51,829349.49,361483.7,530325.18,420811.26,404889.12,479387.89
"AMERICAN CIVIL LIBERTIES UNION, INC.",597089.22,758635.19,752401.1,599237.73,771504.72,860510.3,1140014.88,1023848.22
AMERICAN COLLEGE OF CARDIOLOGY,181434.23,87990.86,279474.08,115584.35,154981.29,127266.89,242079.08,270486.74
AMERICAN COLLEGE OF RADIOLOGY INC,801776.73,582464.66,960582.75,866994.53,1319057.26,917751.07,1315973.58,935203.43
AMERICAN COUNCIL OF LIFE INSURERS,332684.03,221606.67,283220.25,222914.63,298207.46,211718.84,208119.18,200321.66
AMERICAN CREDIT ACCEPTANCE,360013.74,301900.87,501550.24,494553.56,566803.3,502940.03,547624.15,415628.04
AMERICAN CULINARY FEDERATION,32957.06,40951.05,46515.7,46668.39,49062.71,47735.54,37418.68,49561.3
"AMERICAN DE ROSA LAMPARTS, LLC",459568.28,591841.16,684125.12,467747.31,813993.64,617947.02,780404.98,627060.64
AMERICAN DENTAL ASSOCIATION,1336618.21,1010216.2,1157420.14,1029213.26,1411544.93,1083985.96,1055047.03,950271.42
AMERICAN DENTAL EDUCATION ASSOCIATION,105661.94,167642.04,86454.79,151069.87,116660.36,136223.65,125472.34,168762.01
"AMERICAN DRIVELINE SYSTEMS, INC",528236.13,536256,471470.41,414587.25,446195.65,475252.39,451493.59,578613.73
AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES,1078530.42,1076068.96,1314054.44,1437118.28,1416503.41,894621.37,1343255.59,1282663.11
AMERICAN FINANCIAL NETWORK INC.,650934.96,634289.21,698296.72,892374.71,974307.52,1044575.34,1243320.8,1327962.68
"AMERICAN FINANCIAL RESOURCES, INC.",34876.74,34898.96,31659.7,30383.15,20312.73,21388.64,26595.21,18301.48
AMERICAN FRATERNAL ALLIANCE,30468.34,23762.71,36744.61,37753.31,17706.71,34888.4,26132.27,31815.8
AMERICAN FROZEN FOOD INSTITUTE,59407.42,104059.54,80153.22,74583.63,53015.2,52394,70681.47,34365.21
AMERICAN FURNITURE RENTALS,1026493.15,1016607.8,1072365.58,896829.46,955528.18,976563.84,1124320.76,1195463.26
AMERICAN GEOPHYSICAL UNION,441088.41,526875.35,365359.31,283268.34,431603.2,424238.28,370387.72,238483.01
AMERICAN GEOSCIENCES INSTITUTE,131651.82,106243.75,105418.29,101203.67,101821.9,70975.3,97449.77,99841.81
AMERICAN HEALTH INFORMATION MANAGEMENT ASSOCIATION,626724.62,337590.05,423994.2,191189.67,321936.92,429585.58,250142.88,256287.35
AMERICAN HOMECARE FEDERATION,11327.23,5831.61,11076.24,10151.21,11039.18,3216.67,5332.01,4663.32
AMERICAN HONORS,61258.87,76867.74,85310.98,92741.8,107194.91,71428.25,92726.05,81271.48
"AMERICAN INNOVATIONS, LTD.",145228.93,229644.29,187396.89,181441.39,181940.42,267780.35,185572.09,222002.22
AMERICAN INSTITUTE FOR FOREIGN STUDY,593120.76,519365.96,444812.73,778106.93,689702.82,442262.48,525086.92,673019.52
AMERICAN INSURANCE ASSOCIATION,7614,4092.84,19572.91,16515.79,2093.36,2216.7,1080.06,1495.29
AMERICAN ISRAEL EDUCATION FOUNDATION,32979.57,10538.14,6404.14,17262.44,9237.7,12931.41,14948.14,3508.2
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE,2520208.89,4294047.53,6655180.94,3320378.66,2803932.65,3618775.42,4769875.83,2238654.07
AMERICAN LEGEND,82160.7,96698.19,272618.09,573518.88,192818.56,127452.84,130974.53,168140.49
AMERICAN LICORICE COMPANY,211545.59,219420.47,272050.11,225325.88,189600.28,220022.5,283577.3,227057.88
AMERICAN MANAGEMENT ASSOCIATION,109409.44,53899.83,90306.87,63396.28,98637.95,91650.19,81754.32,68526.92
AMERICAN MARKETING ASSOCIATION INC,142851.9,195277.01,118296.66,109914.11,83621.48,76404.99,59298.68,123258.69
"AMERICAN MERCHANDISING SPECIALISTS, INC.",770634.52,374177.85,526468.78,469384.24,432296.2,372857.37,370148.04,348981.93
"AMERICAN METALS SUPPLY CO., INC.",64785.68,45026.03,72709.77,57002.72,63004.59,68364.36,75681.83,66486.92
AMERICAN MIDSTREAM PARTNERS LP,743243.5,717324.11,862899.32,829273.4,659121.4,831619.23,772241.09,952129.42
AMERICAN MITSUBA CORPORATION,147035.4,200272.89,176451.32,169884.97,199090.94,156976.04,209125.51,167659.12
AMERICAN NATIONAL STANDARDS,467040.47,137950.28,428101.83,640943.53,748530.61,439437.14,725298.26,565679.18
AMERICAN PETROLEUM INSTITUTE INC,2466599.2,3209022.72,2647839.59,2571463.67,2245544.91,1662213.13,2173924.38,1811136.84
AMERICAN PHYSICAL THERAPY ASSOCIATION,235220.32,268161.49,426345.5,422798.65,530451.65,524434.66,510997.09,546370.79
AMERICAN PILEDRIVING EQUIPMENT,384989.39,227358.95,232505.02,382026.45,338413.04,384021.34,318167.49,215656.85
"AMERICAN PRODUCTIVITY & QUALITY CENTER, INC.",122689.52,99487.84,113823.19,88756.8,105757.2,68453.43,86545.99,55012.79
"AMERICAN PRODUCTS, L.L.C.",103692.65,83745.44,95187.93,81021.32,98184.31,87969.69,110777.48,117952.61
AMERICAN PUBLIC MEDIA GROUP,998356.7,923090.73,1174569.52,888123.21,898123.9,882851.76,1151222.88,820845.87
AMERICAN REALTY ADVISORS,229657.15,166329.98,200460.09,167706.13,232672.49,125976.56,200124.19,172223.55
"AMERICAN REALTY CAPITAL, LLC",3334803.16,819129.95,637939.56,368869.05,602108.53,1057401.98,329654.81,578426.47
AMERICAN SEATING,205438.48,151875.55,223146.77,210812.21,139609.88,126359.4,107969.85,92906.2
"AMERICAN SOCIETY FOR QUALITY, INC.",6566.4,2209.39,13973.81,15648.84,5338.62,6569.29,13462.97,15916.5
AMERICAN SOCIETY OF CATARACT AND REFRACTIVE SURGERY,221996.79,528131.46,180901.22,638034.33,735617.9,729607.5,426717.73,513883.18
AMERICAN SOCIETY OF CLINICAL PATHOLOGY,1107131.6,1472168.43,1320125.4,1199917.33,1240040.92,1418608.18,1311155.97,1023777.57
AMERICAN SOCIETY OF HEALTH-SYSTEM PHARMACISTS,410437.81,398469.07,461093.67,374166.75,416874.48,435516.1,506916.89,311072.89
AMERICAN SOCIETY OF INTERIOR DESIGNERS INC_US,206110.92,112150.49,83597.55,74766.84,122644.33,63291.91,113617.2,191903.36
AMERICAN SOCIETY OF MECHANICAL ENGINEERS INC,669580.75,555963.83,695209.83,552734.67,538239.95,454727.91,767157.43,527699.06
AMERICAN SOCIETY OF PLASTIC SURGEONS INC,1181985.05,581073.77,664758.81,524444.76,1636808.1,837674.47,1060231.14,1097804.91
AMERICAN SOLUTIONS FOR BUSINESS,413750.74,398340.72,481941.28,437443.95,441935.9,456849.28,453640.63,422928.09
AMERICAN SPECIALTY HEALTH INCORPORATED,656966.3,535573.2,568457.41,461079.26,462617.74,396408.82,571236.74,443274.05
AMERICAN STOCK TRANSFER & TRUST CO INC,371363.49,506035.83,896659.38,492722.93,757138.06,683159.17,991857.72,682966.97
AMERICAN TYPE CULTURE COLLECTION-(MOLECULAR GENOMICS RESOURCES),305267.12,281552.15,315793.17,297914.72,397631.17,271719.85,249444.88,207342.06
AMERICAN VETERINARY MEDICAL ASSOCIATION,191866.06,174850.92,192433.45,177164.57,286933.6,200953.33,210168.07,350860.85
AMERICAN WELL CORP,1350034.94,1405806.31,1439715.09,1258487.97,1334306.16,1359520.02,1508069.58,1153654.91
"AMERICAN YOUTH HOSTELS, INC.",725055.75,556621.81,589316.84,611802.79,658617.78,617848.84,728758.78,593368.59
AMERICANA COMMUNITY BANK,14022.84,3918.34,4957.96,2554.57,12396.71,4339.27,7621.17,5849.6
"AMERICARES FOUNDATION, INC.",311438.56,294893.53,378541.85,268448.85,515991.67,301507,393354.8,311254.86
AMERICAS HEALTH INSURANCE PLANS,207399.96,169127.04,152324.68,216326.46,183265.31,166775.24,175953.93,145976.79
